"id","year","stint","team","lg","g","ab","r","h","X2b","X3b","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","gidp"
"shaffor01",1879,1,"CHN","NL",73,316,53,96,13,0,0,35,NA,NA,6,28,NA,NA,NA,NA,NA
"gleaski01",1893,1,"SLN","NL",59,199,25,51,6,4,0,20,2,NA,19,8,NA,2,NA,NA,NA
"bentoru01",1917,1,"NY1","NL",35,72,1,12,1,1,0,2,0,NA,2,18,NA,0,5,NA,NA
"ruelmu01",1924,1,"WS1","AL",149,501,50,142,20,2,0,57,7,11,62,20,NA,7,29,NA,NA
"marbefi01",1929,1,"WS1","AL",49,81,9,19,3,1,0,11,0,1,5,14,NA,1,5,NA,NA
"francti01",1968,1,"ATL","NL",122,346,32,99,13,1,2,47,3,0,51,45,5,0,1,2,12
"sadecra01",1971,1,"NYN","NL",34,50,2,10,0,0,0,2,0,0,2,12,0,0,5,0,1
"olsongr01",1996,1,"DET","AL",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"francju01",1997,2,"ML4","AL",42,141,22,34,3,0,4,19,7,1,31,41,2,1,0,4,4
"younger01",2006,2,"TEX","AL",4,10,1,2,1,1,0,2,0,0,1,1,0,0,1,0,1
